"820842351572713473": "['want another blunt', '1']",
"494879263301308417": "['“@trippygodfathur: after I get this cut ima pop this Oxycodone then ima start sipping mud” buggin', '0']",
"513822472064364544": "['1 week without seroquel and I hate life. Hope this gets better.', '0']",
"493258564803514368": "['@yaritzalovesong @broke_notbroken @WheresBryce thats because missing you is like withdrawing from heroin. I'm just oxycodone I can't compete', '0']",
"824673016709808128": "['@Rey_Paaaa that be pretty dope . I'm around for that', '0']",
"818553400224808961": "['I just want some sushi &amp; a fat blunt.', '1']",
"520941285088448512": "['Still drunk on the way to work this adderall better kick in asap hahaha #imafuckup', '0']",
"816837471002574848": "['i just want a blunt &amp; pasta', '0']",
"821849797476937728": "['Brought the party pack, go head an crack the seal...Took that bitch to dinner an she wasted half the meal', '0']",
"450910409722040320": "['“@Spongebob_hi: I have to be up in around 3 hours” same but adderall', '0']",
"816469592608489472": "['Speed Dating is dope', '0']",
"460166355002884097": "['@AdderallHadMe: Adderall had me asking people if I can scan their items for them at the self check out/ DEAD. XD', '0']",
"823696441084416001": "['RILLIE FUCKING WEED', '1']",
"824128376751476736": "['This movie is dope tbh https://t.co/cRopVF3SE4', '0']",
"541556536867168256": "['@KooriKitsune I'm too high on oxycodone for my tooth ache to check x:', '0']",
"824877064444473344": "['Have you ever smoked pot/\n/I didn\'t inhale???', '0']",
"456196821900361728": "['@Hair2MyAss  yea and maybe a blunt or two  and an adderall or something lmfao', '0']",
"540919065385390080": "['seroquel is certainly powerful. i took a half of a pill and it knocked me out hard. woke up at 11 in a haze.', '0']",
"456537426513506304": "['Y do ppl smoke cigs when their on adderall to calm them down ... Wouldn't that make u more buzzed ⁉️', '0']",
"534910488287932416": "['Can't stop talking from all the adderall I took today and my dad asked if I'm on crack 😳💊', '0']",
"538738873396760576": "['@JRock514 So glad the Oxycodone helps. It's terrible to live like this. Chronicpain changes so much. Hope they can help U in January.🙏', '0']",
"460981877998768128": "['@DocMBA I'm sending u a prescription of quetiapine for your psychosis bro lol we need to treat this crackness asap', '0']",
"819684727988879360": "['Weed pills &amp; that drank , that's my trippy kit 👽', '1']",
"495386715142782977": "['Subterranean OxyCodone Funk. #SOF. Aug. 22. Me and the big homie @NFIVEXS. http://t.co/7EUEqBp2l3', '0']",
"818939730289197058": "['This shower is about to feel so dope', '0']",
"468928885607104512": "['My dangus never feels smaller than when I workout on adderall', '0']",
"825449964511850496": "['@caymanrae is dope frfr', '0']",
"825944047407742976": "['Blunt then bed', '1']",
"820361232939175936": "['fell asleep lastnight w/ a lit blunt in my hand. im pretty sure that's how ima go 💀', '1']",
"499228426105270275": "['I need to get my hands on some adderall so I can get things done lol.', '1']",
"819006325443031040": "['@davidcho same plus it was a dope nap', '0']",
"824752046427480064": "['i'm so dope &amp; ur so nope', '0']",
"820400253727899648": "['&lt;iggypop&gt; if i dont get on tomorrow, i'm probably burnt up\n&lt;iggypop&gt; i took the battery out of my smoke alarm for my digicam', '1']",
"825164376948760577": "['I'm as dope as I seem', '0']",
"503960712478466048": "['@NicsVoice yes anything is better than hospital! I put on 2 stone on quetiapine and begged my pdoc to take me off of it', '0']",
"824153555519107072": "['I'm rlly blunt af.', '1']",
"817272277574090752": "['Very dope actually.', '0']",
"825245519463092224": "['My Nina hooked it up with hella bud', '1']",
"449558817055854592": "['adderall was the best idea so far. bed at 4:30 AM, work at 6:30 AM, plus going to work drunk. teenagers.', '0']",
"816141198125629440": "['Just tryna have a really dope relationship', '0']",
"452271476268625920": "['@tracywimsatt35 I just took a seroquel so call me when you leave to make sure I'm up', '0']",
"822170494208245760": "['@weedhitler that is a pretty dope hate.', '0']",
"819972151482662912": "['Please just let football players smoke weed', '1']",
"826612577471852544": "['Bottles &amp; cards &amp; weed it's litttttttt', '1']",
"523893530255949826": "['@Melankolica ya same here I take seroquel to help me sleep my mind races like a Muthafucka lol', '0']",
"816706565659049984": "['@Arnie_J_Rimmer @KKochanskiRD Has he been into the Gelf Hooch or the Marijuana Gin?', '0']",
"512124469322981376": "['Should I take this adderall  again and study or go to sleep since I haven't been sleep in like 26 hours', '0']",
"460971166740393984": "['I think adderall would help me a lot with my chemistry hw right now', '1']",
"824639278802149376": "['Just want a blunt and some Breakfast .', '1']",
"817973283899502592": "['I miss dope videos', '0']",
"822328140471013377": "['imma myself roll a blunt', '1']",
"531810743017291776": "['So I dont think adderall at midnight is the right meds for this cold #nosleepsunday-monday', '0']",
"518513318626353152": "['Huh, quetiapine and red wine apparently have no impact on each other. Disappointed, thought I'd be nice and sleepy! Nope, still awake!', '0']",
"511532530085146624": "['Good thing about taking my adderall is I'm super focused. Bad thing is I'm focused on cleaning and not my speech I have to give in 2 hours😣', '0']",
"530390595345207297": "['Case 3: 46-yr F pt w/ mid-low back pain s/p surgery. No radiculopathy. Hx depression &amp; anxiety. On Oxycodone 15mg qds prn #projectecho', '0']",
"815436964946120704": "['I got weed &amp; liquor itsssss lit', '1']",
"822520895394582528": "['This is going to be so Dope ! Who wants to go with me ?! https://t.co/9mfqim3x0E', '0']",
"506132619999051776": "['I'm selling Garrett weaver for adderall if anyone is interested', '0']",
"816073602990604288": "['@BeautifulBlend_ you on dope or dog food ?', '0']",
"503439771192926210": "['pain can always be lessened by oxycodone and Netflix ❤️', '0']",
"500124024203407360": "['he really needs to hurry up cause i took more oxycodone and my eyes are starting to cross lol', '0']",
"819403826302099456": "['Who doesn't smoke weed once in a while !?', '1']",
"542018327359406080": "['What is the most potent form and delivery method of weed? Vaped Dabs?  I ask because my Adderall counters the effects of alcahol and weed', '0']",
"820410192626143232": "['That /Sleight/ movie looks dope af', '1']",
"448128621908336640": "['I didn't have coffee or take my adderall today... am I alive?', '0']",
"822122897078620160": "['Someone at the nursing home is blaring a John Sousa march. I think that's pretty dope. I wanna do that when I'm old but with SkeletonWitch', '0']",
"530795230858317824": "['Will the adderall Gods come bless me? so much to do for these two back to back shows. #SOS', '0']",
"825994140169158656": "['@soimsana dope we can go', '0']",
"821716094423625729": "['@alicialyn5 watching him die was like heroin to me', '1']",
"520597480413884416": "['@mjmongillo91 got my wisdom teeth out in February. It SUCKED. Thank god for oxycodone', '0']",
"329391569620856833": "['@brokenmind_ they mentioned quetiapine for me ages ago, but have changed their mind now. Want to give me nothing. Not happy!', '0']",
"821531204369391617": "['Let\'s go halfsies on the acid', '1']",
"510255909982191616": "['Kyle, oxycodone &amp; Netflix are the only things getting me through this recovery. Holy pain.', '0']",
"825757111355265024": "['Dope sickness', '0']",
"476148299850739712": "['I don\'t know why people take adderall when they can just drink coffee', '0']",
"818696944969093120": "['Smoke up &amp; go to sleep 😴', '1']",
"489821067087597568": "['Seeing a nutritionist on monday because my A1C is borderline and my cholesterol is borderline and I need to counteract the seroquel', '0']",
"824182179567730688": "['I looove smoking weed..&lt;33', '1']",
"816977249530310656": "['@realDonaldTrump You really need Ritalin.', '0']",
"499577850228649984": "['@RebeccaBourbo yo, becky! lemme buy some adderall from u soon! (if u got any)', '1']",
"492319219179331584": "['Life would be so much better with an adderall prescription', '0']",
"816196976526114817": "['I'm an adult.... I should be buying my own weed', '1']",
"541057303781576704": "['playing cards against humanity on seroquel can u fathom', '0']",
"512766245574164480": "['“@AdderallHadMe: Adderall had me rapping about college http://t.co/gGC1d4qQru”@carlyybatess grad practice 😂😂😂😂', '0']",
"512829025950003200": "['My doctor gave me oxycodone now everybody tryna buy em, to bad I'm not in Atlanta right now', '0']",
"815786926934544384": "[' boof blunt}', '0']",
"822560279393423361": "['Dope art and cool shit', '0']",
"512714787625504768": "['@joerogan yeah, for 30 minutes after I eat a 30mg oxycodone i feel that way too', '0']",
"821184659715399681": "['Who got weed in Dallas ?', '1']",
"511249807273652224": "['Charlier ALL OVER Jeffrey for 8th now.. I can not comprehend the pain Jeffrey is in.. Can anyone say Oxycodone please!!', '0']",
"361975418112319489": "['Got a seroquel for tonight.... I'm gonna end up sleeping the rest of this week 💤', '0']",
"821378780061167616": "['dope house Montana!!!', '0']",
"463182729564024832": "['Took my seroquel a while ago but somehow I'm less tired than I was an hour ago.', '0']",
"495312406076481538": "['“@thisisamy_: I'm supposed to take my quetiapine on an empty stomach. Oops.” Very ooooops', '0']",
"519173427220217856": "['@drinksinthedark Hi L can I ask what dose you started on quetiapine &amp; if you had side effects straight away Psych wants me on 100-300mg', '0']",
"520350132488122368": "['i feel you! /@LovelySinner00: That moment when my sister gets her adderall prescription filled 😆', '0']",
"508540801799188480": "['@hnbarker thanks. I will have a FIB,  fentanyl patch and prn oxycodone please. Oh and 1:1 nursing. :) #special', '0']",
"824168157720018944": "['Still awake trying to remember old acid trips lol....', '1']",
"820172948044738564": "['Movie soundtracks are actually dope to listen to', '0']",
"822310313026387969": "['Would you like a cold drink of water or a shot of heroin?/ The show I\'m stuck watching', '1']",
"482007499844104192": "['I wonder what would happen if I took two of my oxycodone in one hour...', '0']",
"525994446744481792": "['And Percocet AND oxycodone huh?But oxycodone IS the active ingredient in Percocet.That's like saying someone takes Tylenol&amp;acetaminophen. 😕', '0']",
"500452642288848896": "['Feelin like a rebel taking oxycodone for my wisdom teeth 💃💊', '0']",
"816480140658089984": "['can't wait to smoke the fattest blunt', '1']",
"818052182985449472": "['@Daisy_kasandra drink some Tylenol... or theraflu. Theraflu is bomb.', '0']",
"816565733308010496": "['Bring me a blunt', '1']",
"535396069215973376": "['@NeilPCarlin @RxISK Hard to know w/o more info. Agree L-dopa  likely for PD/LBD. Quetiapine prob for ‘mania’ or sleep. May even be same MD.', '0']",
"824506122635714560": "['I am officially done smoking weed.', '0']",
"817894208707162113": "['All I want is blunt sleep and cuddles', '0']",
"824447032475521024": "['thats actually kinda dope https://t.co/EyJWxALOSa', '0']",
"817859363004149760": "['@_TeeRAW_ i'm hooked best friend lol', '0']",
"537185917409443840": "['not prescribed to Adderall so I gotta prescribe myself illegally', '1']",
"826217602125017088": "['The moon looks dope 🌒', '0']",
"453720548934029312": "['@zhenka11230 @BeyondMeds Lamictal was scary verbal and memory disability, but the seroquel might have just been secondary to sedation.', '0']",
"509526950982205440": "['Will someone bring me some excedrin or oxycodone or morphine', '0']",
"518164341477371904": "['@zzzedkat dont listen to the docs when they say its not the pills, they dont take em like we do. I have quetiapine paunch. So hard.', '0']",
"821603590636785666": "['Sometimes u just happen to meet dope people', '0']",
"826062966483218432": "['Assassination classroom is friggin dope', '0']",
"468504524701708288": "['fyi - @Gleasonsboxing will be closed this Friday from 6am to noon. We are shooting a scene from the movie /The Adderall Diaries/ #boxing', '0']",
"504099518405967872": "['Note to self: If you take a pain pill for a migraine do not, then, smoke a cigarette. Apparently, nicotine and oxycodone DO NOT mix well.', '0']",
"469673734513909760": "['@islvndrwithsole man this seroquel made me sleep 4th thru 7th period then when I came home I went straight to sleep &amp; just now getting up 😩', '0']",
"454466030430339072": "['adderall is more difficult to find than beans after 2010', '0']",
"359865653978599425": "['I don't think the seroquel from last night has worn off. I should go lie down for a little while.', '0']",
"533270699109265408": "['2mg Loraz, 50mg Quetiapine = a day in bed with #GeordieShore and some magazines :)', '0']",
"824357572878671872": "['Smoking a fat blunt today', '1']",
"820432019326898176": "['a single jameson and coke should not have me this buzzed but here i am', '0']",
"815761798825644032": "['it's 2017 and u still dope poppin 🤔 https://t.co/zEkLjd8Bij', '1']",
"825516126222286849": "['I want some weed wow', '1']",
"540525840254394368": "['@AtDantzler ngata suspended the rest of the season,  Adderall use', '0']",
"517106979924615169": "['Was hoping to see some oxycodone influenced tweets from @capthlr post surgery. Get well Captain! #BelowDeck', '0']",
"820756555935186944": "['Dope whore', '0']",
"825551951710543876": "['@_carefreequeen downtown at beyu caffe! it was soooo dope', '0']",
"485901520026607616": "['@AyeYoSavage lmao! I take a oxycodone after I drink and you'll be hung over free man', '0']",
"454430342124802049": "['STRAIGHT TRUTH. /@BathingAfrican: first time i took adderall in school nigga i could taste sound', '0']",
"822366001195077632": "['the sopranos is so dope lol', '0']",
"821195575303503873": "['Ashlei has never watched Dope before😱', '0']",
"820125844806868992": "['Wish I had more weed.', '1']",
"817847181616918528": "['@YVRHousing hmmmm, does fentanyl melt snow?', '1']",
"461233895258591232": "['Hey people that dominate conversations, what's it like to be on adderall 100% of the time?', '0']",
"820886659382136832": "['yeah i smoke weed, get over it.', '1']",
"817887450882252800": "['he's like the lighter to my blunt', '1']",
"816149013984636928": "['I slept on Sons of Anarchy for a while but it's dope as balls tbh', '0']",
"817864190174040065": "['@_Longfur @IanHose66 what dope you smokin', '0']",
"482152977860292609": "['4 shots of espresso and 60mg of adderall to start my morning because im sleeeeeepy 😩', '1']",
"448532984027570176": "['Popped adderall tonight hahahah LET'S FINISH THIS 100 PAGE PAPER', '1']",
"817147447415689216": "['Got A NyQuil Blunt 😩', '1']",
"824096477781917696": "['Lowkey want to go to the gym... High key just wanna smoke a blunt and chill 🤔', '1']",
"496162979071524864": "['I just took that oxycodone 325mg 😩 finna be on my ass', '0']",
"452157791206006786": "['This girl goes /Im prescribed adderall but I don\'t take it cuz I don\'t like the sideeffects/. Half the class is gonna hit her up after class', '1']",
"817607428338499588": "['weed and coffee', '1']",
"816073404340195328": "['@jeff_elbel XTC and Crowded House', '0']",
"529893167017885696": "['Ambien, Seroquel and some marijuana. I dont normally do this but fucket.', '1']",
"449255920636133376": "['I really need adderall so that I can pay attention to giving a fuck. I just be drifting.', '1']",
"822916768381317120": "['Need to go get weed', '1']",
"514121942891503616": "['@javichavi24 #Adderallhadmelike acting like I was on adderall the day after I took it', '0']",
"355592140874719232": "['@ayyoflores seroquel ... It's pretty much weed in a pill ... High feeling ... Munchies lol it's bomb', '0']",
"825391600280956928": "['Smoking a big blunt then taking a hot ass shower &gt;&gt;&gt;&gt;&gt;&gt;', '1']",
"815642296884625408": "['@doitliketee You must steal his weed', '1']",
"540634635307589632": "['The cop claims he felt a gun in Rumain\'s pocket, shot him twice in the torso. Turns out that /GUN/ was a bottle of oxycodone pills....', '0']",
"820287391650955264": "['If you smoke weed before you go to the gym you a crackhead', '1']",
"513741972205740032": "['@jacaristar I have 17/20 Oxycodone because I felt like I was going to die lol', '0']",
"461664410822406144": "['2 hours later I'm an eighth of the way done. Wher da adderall at?', '0']",
"822806995350781952": "['@uscapitol Obama flying away I C Black woman watch in sadness then walk away. Immediately a black woman took spot to celebrate the event', '0']",
"535866632359649280": "['Seroquel (quetiapine) is an antipsychotic – it might help minimize contribution to worsening Parkinson’s if an antipsychotic is necessary', '0']",
"825768811274006528": "['last night was so fucken dope!!!', '0']",
"822165055064002560": "['@KKCornelison Voted Best Heroin Hut by Boise Weekly', '1']",
"816717200513974273": "['@MegaTJP hell yeah, it's dope asf', '0']",
"486123130113753088": "['@MarkOneinFour Think they all got scared off after quetiapine 'no weight gain' fiasco.', '0']",
"466479050664706048": "['My body says I'm tired but the adderall and redbull say otherwise 😳😳😳', '1']",
"513593669803573249": "['Leg and stomach pain, hot as shit, and that oxycodone got me feeling disoriented and lost.', '0']",
"819342862181666816": "['stressed? smoke a blunt. sad? smoke a blunt. depressed? smoke a blunt. guarantee it'll go away for a bit.', '1']",
"511910256122023936": "['Told my doctor I've been having sleeping issues, which isn't unusual for college time. He decided to add Seroquel to what I'm taking now.', '0']",
"510537625892302848": "['Aspartame (equal), Trazadone, Xanax all have pain as side effect. Lactose too. Seroquel side effect= gut pain. Also potato skin.', '0']",
"825686743349391362": "['The plane I'm riding is SO dope lol', '0']",
"483740626195079168": "['“@YaFeelMe615: Seroquel /@nich_king: If I want it ima get it no questions asked that\'s just my mentality 💰😎/”TF', '1']",
"536214856383623168": "['It's not even 1pm and I've ingested 3 coffees and 60mg of adderall today is turning around', '1']",
"528628613340745729": "['hey I didn't win the lottery last night but I did find a loose adderall in my car's ashtray', '0']",
"351700599345119233": "['@weswroten mmm, Seroquel seems to be working for me for now....will see...', '0']",
"465262186223640577": "['@eucs4L that red red bull is sooo good. Adderall is also great', '0']",
"460000855568441344": "['@Neuro_Skeptic An atypical antipsychotic e.g. Quetiapine does short term. Patients can experience increased appetite; side effect wears off.', '0']",
"329007984845926402": "['@BorderlineStory were on the same meds haha serequol and quetiapine are the same thing:p', '0']",
"824110030710509570": "['Weed deprived', '1']",
"496509363029549056": "['@chinamomx3 bitch you can't mix vodka with oxycodone !!!! can you say dirt nap forEVA???', '0']",
"495042158773420032": "['Them Seroquel 300 ain't no joke I went to sleep 5 times today', '0']",
"534631975055667200": "['things that don't go together:\nadderall and country music', '0']",
"452904244417265664": "['Daily Adderall use is a deal with the devil. If you want the focus it offers, you have to sacrifice all of your emotions and creativity', '0']",
"819638592880463872": "['@Josh_Moon And the only thing left to do is legalize marijuana...', '0']",
"539571887899025409": "['But my favorite, by far, was /I hurt so bad I need massive quantities of oxycodone constantly and it had better be $1 on Medicaid because...', '0']",
"825428346750246912": "['@DrChaeEd this is super dope ! Go him !', '0']",
"822793257843326976": "['This weed tastes fucking gross', '1']",
"502509253069115392": "['You take three 80mg oxycodone pills a day and you're still alive? 😳', '0']",
"819762417097998337": "['Smoked a blunt and forgot about you', '1']",
"540527533671055360": "['PSSST: just because a player says it was Adderall doesn't mean it was actually Adderall', '0']",
"818540035473637382": "['@TerrieCarrRnR well the heroin diaries of course..', '0']",
"825735703690481664": "['@Stickee_Nickee really that's DOPE. What church is that?', '0']",
"449100655014477824": "['@cheer_bear13 the quetiapine made my anxiety worse too. And did u find u were constantly processing thoughts &amp; fears etc?', '0']",
"475360458724360192": "['Took an adderall to clean my room and ended up putting hundreds of mini glow in the dark stars on my ceiling instead http://t.co/5zaPOLYnOq', '1']",
"509202780507369473": "['“@itskiannabroski: do you have any idea how scary it is to know what it's like to be afraid of your own mind?”\nKianna are u on Adderall', '0']",
"816110552686661633": "['I miss barbs', '0']",
"512672199614791681": "['I definitely over committed on the  adderall today. I'm in a completely different world all to myself. #studystudystudy', '1']",
"821524472213557248": "['She smoked a paper blunt', '1']",
"511770421986091010": "['Then I forget I'm drunk and take an adderall and work out like Sylvester Stallone in rocky iv.', '0']",
"826487172882575360": "['@KoltenParker @GregAbbott_TX So's smoking weed.\n\nWait.', '1']",
"474194034261377026": "['Walk into a psych ward and everyone is cracking seroquel jokes. Come back to real life and no one knows what it is.', '0']",
"540302033299861504": "['Adderall is going to be my new best friend this next week. 👌', '0']",
"523847078070349824": "['Lmao this guy comes to work saying he had adderall for breakfast &amp; then asks for a drink with double grey goose😳😂', '0']",
"822844827876425729": "['Nfs Im cussing my neighbors tf out them bitches gone complain about me playing music loud n the weed smell n a dog barking yet ion got a dog', '1']",
"817328056234700800": "['My wish for you today... \nstrong coffee in your mug... \nsweet caramels in your candy bowl...… https://t.co/wLKvp4Ge7m', '0']",
"817713341124710400": "['I want a blunt and some coffee. Who's with me?', '1']",
"524024591703093248": "['Took some adderall and I'm out here zoned out on the most useless things. Fuck me', '0']",
"524041287008542720": "['I basically take adderall to stay up all night on tumblr &amp; junk and then realize at 5 in the morning /oh shit I have to finish my homework', '0']",
"825630147902631936": "['Blunt now', '1']",
"510452736262160384": "['Take adderall and bat .190, no focus improvement there', '0']",
"822980456257753089": "['Took so many dope pics today! 😈', '0']",
"536393529158012929": "['I was just reminded of how often me and my brother used to get hurt by the 4 bottles of oxycodone in my medicine cabinet. Lol', '1']",
"505673848004829184": "['The effect of the Adderall is still going on it's been like 12 hours 👌 but I can't sleep', '0']",
"526815723067568128": "['Yo i promise I'm bout to hop off all social networks again but if anyone can help a brother out with some adderall I'd love you forever', '1']",
"823328914974064640": "['backyard football is dope', '0']",
"824827220510244864": "['Been a long day I just need some weed and my bed ....', '1']",
"818201188000796678": "['He was at home smoking weed Phil', '1']",
"820135717271695368": "['just seen it too, dope movie https://t.co/dS3gfYXZ0l', '0']",
"493575354897149953": "['peettttttyyyyy😭 “@AdderallHadMe: Adderall had me giving a weather forecast with a stone http://t.co/tbRodTe7v2”', '0']",
"474419772080156672": "['@lilithmoon1313 oh and to top it all off I developed occasional night terrors by being prescribed seroquel like five years ago.', '0']",
"825428793951137792": "['@JHenry347 That's dope!! How did it go?', '0']",
"487152914511970304": "['@NadineLYoung service with boots so they do all the work the only thing they can put on repeat is the oxycodone as it's a controlled drug', '0']",
"817291212583555073": "['Looks kinda dope https://t.co/8vVHR7YBni', '0']",
"506262017821667328": "['this one time on adderall I read an algebra textbook for fun and actually understood it', '0']",
"817285261734182912": "['The moon looks dope af😍', '0']",
"825099115277201410": "['Love me some emily blunt', '0']",
"820441492934238209": "['DOPE is such a quality movie.', '0']",
"816198105888604160": "['All I need is dick, weed, and cuddles.', '1']",
"816768642259877888": "['Who wants to sell me some weed that's in Lynwood?', '1']",
"486227615083401216": "['I've been up for three days adderall and redbull, this call is a mistake there's something strong in this water bottle. 🎶', '0']",
"463189237924257792": "['How much Adderall can one eat &amp; still sleep? Oh wait. It's finals week... sleep- HaHaHa!! #FinalsWeekHumor @apaigey @JohnLann', '0']",
"474082049582964736": "['Like I chose the worst day to take adderall because like I have eoc tomorrow. 😂😂😄', '0']",
"530101815971291136": "['I'm being held down and threatened with seroquel by @gwebbharris #smaccUS', '0']",
"824827796866347013": "['@SpazzinId10t I just want some weed 😭', '1']",
"824302647532523521": "['@adidasFballUS these are so dope I'm gonna have to try to buy https://t.co/6n4bYAn3XV', '0']",
"817984937206878212": "['I'm dope all by myself https://t.co/6SASKjYsWV', '0']",
"460599053969944576": "['Not ready to have to go through the seroquel squirms, ugliest sleeping medicine under the sun. 😩😩😷😴', '0']",
"452563136848334848": "['i take 200 mg of seroquel that's 8 pills everynight. fml', '0']",
"820861879308419072": "['Smoking weed and eating tacos', '1']",
"503283594471964672": "['been cleaning all day. but now my adderall is wearing off and I just want to take a nap lol', '0']",
"816432547529945095": "['Houston graffiti is pretty dope https://t.co/fET8aX3p7L', '0']",
"486164151199629312": "['@jonnyward21 I'll try...unless the quetiapine kicks in again, then I'll have to focus on that again.', '0']",
"512165382162235392": "['Took me a seroquel on top of a lotta drinks that didn't make me violate probation. Does throwing bricks make problems? I know and do nothing', '0']",
"823563088209346561": "['i'm getting acid reflux. i'm probably dying', '0']",
"541547716220698624": "['if I take my seroquel I sleep too much and if I don't I don't sleep at all.', '0']",
"821148911129739264": "['Competition cheering is actually so dope to watch', '0']",
"489075920809238528": "['Swimming is so deceiving. You do a couple hundred laps feeling good...then the next day you wake up needing a couple hundred oxycodone', '0']",
"527455674406809600": "['Wanted an hour nap before my on the go day but apparently that wasn't in the cards....thanks adderall 😒', '0']",
"818326616954773504": "['smoked weed now im half blind', '1']",
"483882960458768384": "['stoned off seroquel and norcos watching MLP Friendship is Magic, this show is amazing it makes me feel so happy when i watch it.', '0']",
"498914009014599680": "['@LithiumLibGirl It's been three years now, as I come slowly off the quetiapine I realise it's been masking the thirst and the full bladder&gt;', '0']",
"823932284566810625": "['Pop these pills smoke this blunt...', '1']",
"818854284158783488": "['Eating alone in college is pretty dope', '0']",
"821614870319824897": "['lowkey wanna roll this blunt and go smoke under the porch while I rains but I swear it'll stop as soon as I go out', '1']",
"330278165765312512": "['@ellaboheme I'll be on 600mg of Quetiapine for the next 5 nights. I might never wake up again! X', '0']",
"820496676293144576": "['What a dope night. I chilled with my boy and wound up not going to the hooka bar and actually just smoked hooka at his house.', '0']",
"461157879265763329": "['«@AdderallHadMe Adderall had me adding a picture to all my contacts» lmao I just did this!', '0']",
"825636004463775744": "['I need some weed lol', '1']",
"529981334135914496": "['BRUH I wrote an essay in 10 minutes and I'm not on adderall 😳', '0']",
"822083308855197696": "['Who's in the bathroom smoking weed rn', '1']",
"513763758418952192": "['@rollupyourpain: Been up 3 days, adderall and rebull/ this call is a mistake, somethin strong in this water bottle', '0']",
"450430817706078208": "['I see Emma's superpower has failed her once again. Neal is acting shiftier than a Hastings on Adderall #queerytales', '0']",
"821915789842223104": "['@saayduh ooooh that'll be dope! Jealous asf', '0']",
"499794782869147650": "['Took a line of adderall and cleaned my entire room AND color coordinated my clothes, I needed that haha', '1']",
"815843627188428801": "['@sophipher do u have weed pls', '1']",
"525287199928225793": "['Adderall &amp; coffee creates a  hyped up feeling for school work\r#stillfaded', '0']",
"484050965490700288": "['Mom just reminded me that I have OxyCodone to make me trip :-)))', '1']",
"508794242966491137": "['Adderall plus Zanax equals I'm paying attention to you but I don't care #ColoringOutsideTheLines &lt;3', '0']",
"815642182292041729": "['I wanna smoke weed out of a kazoo like firewater does in sausage party', '1']",
"819385323197235200": "['really needed this blunt', '1']",
"825932649638174726": "['Who's smoking a blunt with me tonight ?', '1']",
"528770781967552513": "['I have these all natural pills that are better than adderall', '0']",
"498860765835952128": "['Pathologist testifies Windsor Jail inmate Kendra Blackbird died from /drug toxicity/ from array of drugs including Oxycodone and sedatives', '0']",
"824453043861286912": "['Dang they sent Bobby home in a yellow cab#NewEditionBET', '0']",
"511506675267039232": "['How many cups of coffee equal the energy &amp; focus of adderall ? \n\nSchool is fun.', '0']",
"820017388976566273": "['And weed, a lot of weed.', '1']",
"527153645750452224": "['I was sad bc lost my adderall then happy bc bri found it now sad again bc bri swallowed it 😢😒', '1']",
"819705105431797760": "['Smoke weed get drunk', '1']",
"825813635796725760": "['Smoking weed &amp; fucking...', '1']",
"815947464754790400": "['Its been over 24 hours since my last weed consumption', '1']",
"532064201716801536": "['@moftasa Shame on you any psychiatry graduate, nothing called Adderall or Ritalin in Egypt? Only non-related alternatives? I have ADHD, WTF!', '0']",
"815684937932304384": "['I\'ll take /robotusin/ and Weed for $200 https://t.co/ToysXHaMX6', '1']",
"824290634689155072": "['@flappyfingers dope sending now', '0']",
"821444899694219264": "['Everyone just needs some head and a blunt', '1']",
"822101705009537024": "['@TC_2NYCE yeah it is dope lol', '0']",
"821148256310796288": "['I got some dope videos coming soon', '0']",
"489183309340356608": "['@CheyenneRenea13 that's terrible babe ! Feel better 😘😏 I just got mine out this morning, ugh hurts like a bitch they put me on oxycodone', '0']",
"484639188365475840": "['speed up gas pedal, I'm tryna keep up like adderall', '0']",
"816158403508793344": "['Blunt rolled. Dinner done and Lunch packed for tomorrow 😎', '1']",
"517350351976943617": "['When I take oxycodone it really helps the pain but I wake up at noonish, pissed lol. no happy medium.', '0']",
"815719073053024256": "['Lex was pretty dope last night', '0']",
"465905848875618304": "['If I had an adderall prescription I would make so much money during finals week', '0']",
"820018170442502144": "['After work blunt in the air', '1']",
"823003255458435074": "['I think im trying acid tonight👀', '1']",
"519296346768302080": "['I thought oxycodone was supposed to help with pain...guess not', '0']",
"511737361378836480": "['knocking myself out with kpin and seroquel tonight and hoping all the bad feelings will be gone in the morning', '0']",
"819785875903037440": "['@TobyMac10 these are dope imo https://t.co/HiLE3t6kpo', '0']",
"824810878235189250": "['@morgglewis country is dope stfu', '0']",
"824952441267482624": "['That shower &gt;&gt;&gt;\nThis blunt rn &gt;&gt;&gt;', '1']",
"493129850614714369": "['[20:24] #byrnsy oxynorm being the fast acting oxycodone #DALnet', '0']",
"817153077530632194": "['S/O to my mans on the corner in the Junction rn who I walked past rolling a blunt and five minutes later he\'s *yelling*, /It\'s on fire!', '1']",
"462001385127428096": "['Advice for high school senior : GET PRESCRIBED ADDERALL OR VYANZE BEFORE COLLEGE', '0']",
"820354843457900544": "['I need $40 worth of some weed PLEASE!!!', '1']",
"501264610884722688": "['My doctor is so cool for prescribing me oxycodone 😂 I need to get my refill next week I'm so low.', '0']",
"826599994190942208": "['@benavidesjvsmen blunt effectz', '0']",
"486882488476651524": "['I know that stoners want to glorify the usefulness of pot But it CANT replace drugs like oxycodone alprazolam zoldipem Stop kidding yourself', '0']",
"510327578020687872": "['guys i might overdose on oxycodone tonight I'm so fucking cool @ayyyrad', '0']",
"820257379749163008": "['His wife needs to get smacked https://t.co/LB7TzDiA7v', '0']",
"538683017602936833": "['fuckin adderall makin me stay up all night 😑 #ilikemysleep', '0']",
